outcome,continuouspredictor,phylogeny,estimate_lower,estimate_upper,association_present
strict male dominance,MatSysPMK PRO minus MON,Yes,-0.039789305,0.32,not
strict male dominance,MatSysPMK POL minus PAN,Yes,0.105810029,0.47,confident
strict male dominance,MatSysPMK PRO minus PAN,Yes,-0.056322665,0.3,not
strict male dominance,MatSysPMK PRO minus POL,Yes,-0.301610626,-0.04,confident
perc_won,Strata_Wilman G minus Ar,No,-0.358742874,-0.25,confident
perc_won,Strata_Wilman S minus Ar,No,-0.188841723,-0.13,confident
perc_won,Strata_Wilman S minus G,No,0.099363022,0.2,confident
perc_won,Strata_Wilman G minus Ar,Yes,-0.663551932,-0.28,confident
perc_won,Strata_Wilman S minus Ar,Yes,-0.604891016,-0.23,confident
perc_won,Strata_Wilman S minus G,Yes,-0.07061131,0.18,not
strict three way,Strata_Wilman G minus Ar,No,-0.37055631,-0.08,confident
strict three way,Strata_Wilman S minus Ar,No,-0.267575652,-0.05,confident
strict three way,Strata_Wilman S minus G,No,-0.078820894,0.22,not
strict three way,Strata_Wilman G minus Ar,Yes,-0.360932618,-0.05,confident
strict three way,Strata_Wilman S minus Ar,Yes,-0.255725379,0,confident
strict three way,Strata_Wilman S minus G,Yes,-0.087151121,0.23,not
strict female dominance,Strata_Wilman G minus Ar,No,-0.015192993,0.19,not
strict female dominance,Strata_Wilman S minus Ar,No,-0.085606242,0.05,not
strict female dominance,Strata_Wilman S minus G,No,-0.206462875,0,confident
strict female dominance,Strata_Wilman G minus Ar,Yes,-0.327375103,0.16,not
strict female dominance,Strata_Wilman S minus Ar,Yes,-0.370421645,0.06,not
strict female dominance,Strata_Wilman S minus G,Yes,-0.30726573,0.17,not
strict male dominance,Strata_Wilman G minus Ar,No,0.072304744,0.37,confident
strict male dominance,Strata_Wilman S minus Ar,No,0.037693019,0.26,confident
strict male dominance,Strata_Wilman S minus G,No,-0.224116079,0.08,not
strict male dominance,Strata_Wilman G minus Ar,Yes,0.059439868,0.35,confident
strict male dominance,Strata_Wilman S minus Ar,Yes,-0.020066788,0.24,not
strict male dominance,Strata_Wilman S minus G,Yes,-0.244155567,0.06,not
perc_won,sexbias_dispersal Female minus Both,No,-0.206314051,-0.13,confident
perc_won,sexbias_dispersal Male minus Both,No,-0.330893909,-0.23,confident
perc_won,sexbias_dispersal Male minus Female,No,-0.158367799,-0.08,confident
perc_won,sexbias_dispersal Female minus Both,Yes,-0.582002851,-0.17,confident
perc_won,sexbias_dispersal Male minus Both,Yes,-0.468291207,-0.17,confident
perc_won,sexbias_dispersal Male minus Female,Yes,-0.106753606,0.21,not
strict three way,sexbias_dispersal Female minus Both,No,-0.363993247,-0.02,confident
strict three way,sexbias_dispersal Male minus Both,No,-0.32641447,-0.04,confident
strict three way,sexbias_dispersal Male minus Female,No,-0.139590923,0.17,not
strict three way,sexbias_dispersal Female minus Both,Yes,-0.389474277,-0.05,confident
strict three way,sexbias_dispersal Male minus Both,Yes,-0.349799727,-0.03,confident
strict three way,sexbias_dispersal Male minus Female,Yes,-0.114210347,0.18,not
strict female dominance,sexbias_dispersal Female minus Both,No,-0.146344179,0.12,not
strict female dominance,sexbias_dispersal Male minus Both,No,-0.219214005,0,not
strict female dominance,sexbias_dispersal Male minus Female,No,-0.202044857,0,not
strict female dominance,sexbias_dispersal Female minus Both,Yes,-0.26323851,0.26,not
strict female dominance,sexbias_dispersal Male minus Both,Yes,-0.257636282,0.25,not
strict female dominance,sexbias_dispersal Male minus Female,Yes,-0.258058362,0.24,not
strict male dominance,sexbias_dispersal Female minus Both,No,0.037502312,0.38,confident
strict male dominance,sexbias_dispersal Male minus Both,No,0.045380684,0.34,confident
strict male dominance,sexbias_dispersal Male minus Female,No,-0.151266105,0.14,not
strict male dominance,sexbias_dispersal Female minus Both,Yes,0.052861188,0.41,confident
strict male dominance,sexbias_dispersal Male minus Both,Yes,0.048808433,0.35,confident
strict male dominance,sexbias_dispersal Male minus Female,Yes,-0.192388297,0.12,not
perc_won,jointaggression_females Yes minus No,No,-0.078181428,-0.02,confident
perc_won,jointaggression_females Yes minus No,Yes,-0.208601784,0.17,not
strict three way,jointaggression_females Yes minus No,No,-0.195753014,0.06,not
strict three way,jointaggression_females Yes minus No,Yes,-0.217542939,0.07,not
strict female dominance,jointaggression_females Yes minus No,No,-0.162911507,0,confident
strict female dominance,jointaggression_females Yes minus No,Yes,-0.210833438,0.27,not
strict male dominance,jointaggression_females Yes minus No,No,-0.045678342,0.21,not
strict male dominance,jointaggression_females Yes minus No,Yes,-0.05107243,0.24,not
perc_won,RelativeLactationDuration,No,-0.48132604,-0.369229505,confident
perc_won,RelativeLactationDuration,Yes,-0.39983379,0.28860543,not
strict three way,RelativeLactationDuration,No,-0.63192167,0.004506057,not
strict three way,RelativeLactationDuration,Yes,-0.63092302,0.021917269,not
strict female dominance,RelativeLactationDuration,No,-1.0417916,0.00380091,not
strict female dominance,RelativeLactationDuration,Yes,-1.73941175,-0.1704346,confident
strict male dominance,RelativeLactationDuration,No,-0.037993308,0.518626605,not
strict male dominance,RelativeLactationDuration,Yes,-0.090965549,0.62122512,not
perc_won,AlloMaternalCare_continuous,No,0.46784912,0.55591619,confident
perc_won,AlloMaternalCare_continuous,Yes,0.90518334,1.55489365,confident
strict three way,AlloMaternalCare_continuous,No,0.102549915,0.67949577,confident
strict three way,AlloMaternalCare_continuous,Yes,0.104101045,0.73725774,confident
strict female dominance,AlloMaternalCare_continuous,No,-0.91320762,0.217305395,not
strict female dominance,AlloMaternalCare_continuous,Yes,-1.941362,0.144781835,not
strict male dominance,AlloMaternalCare_continuous,No,-0.823732555,-0.183607055,confident
strict male dominance,AlloMaternalCare_continuous,Yes,-1.10877055,-0.229469285,confident
perc_won,maleinfanticide Yes minus No,No,-0.437225215,-0.260344664,confident
perc_won,maleinfanticide Yes minus No,Yes,-0.269049535,0.023904204,not
strict three way,maleinfanticide Yes minus No,No,-0.475599259,-0.236355309,confident
strict three way,maleinfanticide Yes minus No,Yes,-0.46950121,-0.233655835,confident
strict female dominance,maleinfanticide Yes minus No,No,-0.16531156,0.005984266,not
strict female dominance,maleinfanticide Yes minus No,Yes,-0.378786722,0.052393193,not
strict male dominance,maleinfanticide Yes minus No,No,0.238392294,0.477256675,confident
strict male dominance,maleinfanticide Yes minus No,Yes,0.234814699,0.482543011,confident
perc_won,AlloMaternalCare Yes minus No,No,0.257986987,0.370735331,confident
perc_won,AlloMaternalCare Yes minus No,Yes,0.348385692,0.657099764,confident
strict three way,AlloMaternalCare Yes minus No,No,0.193435197,0.465963736,confident
strict three way,AlloMaternalCare Yes minus No,Yes,0.128779838,0.429842246,confident
strict female dominance,AlloMaternalCare Yes minus No,No,0.047068396,0.252016466,confident
strict female dominance,AlloMaternalCare Yes minus No,Yes,-0.225241767,0.237024948,not
strict male dominance,AlloMaternalCare Yes minus No,No,-0.465309346,-0.210618955,confident
strict male dominance,AlloMaternalCare Yes minus No,Yes,-0.485960405,-0.173727995,confident
