outcome,continuouspredictor,phylogeny,contrast_lower,contrast_upper,association_present
strict female dominance,origin wild minus captive,Yes,-0.42669,-0.03294,confident
strict male dominance,origin wild minus captive,No,-0.11031,0.118194,not
strict male dominance,origin wild minus captive,Yes,-0.1682,0.088032,not
perc_won,female_infanticide Yes minus No,No,-0.3436,-0.1723,confident
perc_won,female_infanticide Yes minus No,Yes,-0.11859,0.187995,not
strict three way,female_infanticide Yes minus No,No,-0.22133,0.047069,not
strict three way,female_infanticide Yes minus No,Yes,-0.21253,0.101324,not
strict female dominance,female_infanticide Yes minus No,No,-0.03824,0.16093,not
strict female dominance,female_infanticide Yes minus No,Yes,-0.26975,0.18209,not
strict male dominance,female_infanticide Yes minus No,No,-0.07274,0.201687,not
strict male dominance,female_infanticide Yes minus No,Yes,-0.09821,0.212344,not
perc_won,MatSysPMK PAN minus MON,No,-0.47004,-0.22258,confident
perc_won,MatSysPMK POL minus MON,No,-0.75294,-0.63188,confident
perc_won,MatSysPMK PRO minus MON,No,-0.63586,-0.451,confident
perc_won,MatSysPMK POL minus PAN,No,-0.44462,-0.24726,confident
perc_won,MatSysPMK PRO minus PAN,No,-0.28215,-0.12826,confident
perc_won,MatSysPMK PRO minus POL,No,0.091303,0.200302,confident
perc_won,MatSysPMK PAN minus MON,Yes,-0.69137,0.011246,not
perc_won,MatSysPMK POL minus MON,Yes,-0.82522,-0.54014,confident
perc_won,MatSysPMK PRO minus MON,Yes,-0.66183,-0.30677,confident
perc_won,MatSysPMK POL minus PAN,Yes,-0.70864,-0.0148,confident
perc_won,MatSysPMK PRO minus PAN,Yes,-0.53908,0.218681,not
perc_won,MatSysPMK PRO minus POL,Yes,0.086045,0.340117,confident
strict three way,MatSysPMK PAN minus MON,No,-0.33818,0.17068,not
strict three way,MatSysPMK POL minus MON,No,-0.47983,-0.07842,confident
strict three way,MatSysPMK PRO minus MON,No,-0.32696,0.085783,not
strict three way,MatSysPMK POL minus PAN,No,-0.41296,0.015032,not
strict three way,MatSysPMK PRO minus PAN,No,-0.25644,0.192216,not
strict three way,MatSysPMK PRO minus POL,No,0.03193,0.28962,confident
strict three way,MatSysPMK PAN minus MON,Yes,-0.32925,0.172141,not
strict three way,MatSysPMK POL minus MON,Yes,-0.4815,-0.08986,confident
strict three way,MatSysPMK PRO minus MON,Yes,-0.27103,0.130687,not
strict three way,MatSysPMK POL minus PAN,Yes,-0.43033,0.042088,not
strict three way,MatSysPMK PRO minus PAN,Yes,-0.22736,0.253194,not
strict three way,MatSysPMK PRO minus POL,Yes,0.067825,0.347695,confident
strict female dominance,MatSysPMK PAN minus MON,No,-0.23291,0.274362,not
strict female dominance,MatSysPMK POL minus MON,No,-0.44939,-0.07093,confident
strict female dominance,MatSysPMK PRO minus MON,No,-0.52902,-0.17909,confident
strict female dominance,MatSysPMK POL minus PAN,No,-0.49393,-0.07115,confident
strict female dominance,MatSysPMK PRO minus PAN,No,-0.55761,-0.17197,confident
strict female dominance,MatSysPMK PRO minus POL,No,-0.18873,0.001698,not
strict female dominance,MatSysPMK PAN minus MON,Yes,-0.3062,0.230425,not
strict female dominance,MatSysPMK POL minus MON,Yes,-0.34859,0.159927,not
strict female dominance,MatSysPMK PRO minus MON,Yes,-0.34235,0.13968,not
strict female dominance,MatSysPMK POL minus PAN,Yes,-0.32898,0.197188,not
strict female dominance,MatSysPMK PRO minus PAN,Yes,-0.31498,0.186398,not
strict female dominance,MatSysPMK PRO minus POL,Yes,-0.23866,0.214584,not
strict male dominance,MatSysPMK PAN minus MON,No,-0.18756,0.322148,not
strict male dominance,MatSysPMK POL minus MON,No,0.029015,0.442181,confident
strict male dominance,MatSysPMK PRO minus MON,No,-0.1277,0.242194,not
strict male dominance,MatSysPMK POL minus PAN,No,-0.03666,0.382966,not
strict male dominance,MatSysPMK PRO minus PAN,No,-0.20348,0.183555,not
strict male dominance,MatSysPMK PRO minus POL,No,-0.30367,-0.05616,confident
strict male dominance,MatSysPMK PAN minus MON,Yes,-0.19356,0.336973,not
strict male dominance,MatSysPMK POL minus MON,Yes,0.045237,0.458591,confident
strict male dominance,MatSysPMK PRO minus MON,Yes,-0.17182,0.236649,not
