,outcome,nestingvariable,phylogeny,contrast lower,contrast upper
202,relaxed,dimorphic perc_aggression_mm,no,-0.133274925,0.886342655
203,relaxed,no dimorphic perc_aggression_mm,yes,-0.11832716,1.6762538
204,relaxed,dimorphic perc_aggression_mm,yes,-0.123267045,1.1053911
205,perc_won,no dimorphic sexualreceptivity_hours,no,-1.07673055,-0.855528825
206,perc_won,dimorphic sexualreceptivity_hours,no,0.12473331,0.38337542
207,perc_won,no dimorphic sexualreceptivity_hours,yes,-1.72165625,-0.60323393
208,perc_won,dimorphic sexualreceptivity_hours,yes,-0.53696052,0.695358675
209,strict,no dimorphic sexualreceptivity_hours,no,-1.83965245,-0.489332275
210,strict,dimorphic sexualreceptivity_hours,no,-0.49709801,0.63576728
211,strict,no dimorphic sexualreceptivity_hours,yes,-1.8651872,-0.48805723
212,strict,dimorphic sexualreceptivity_hours,yes,-0.55425419,0.65638821
213,relaxed,no dimorphic sexualreceptivity_hours,no,-1.2646916,-0.001121609
214,relaxed,dimorphic sexualreceptivity_hours,no,-0.40296836,0.63535979
215,relaxed,no dimorphic sexualreceptivity_hours,yes,-2.66227585,-0.92429232
216,relaxed,dimorphic sexualreceptivity_hours,yes,-0.745837605,0.60402944
217,perc_won,no dimorphic receptive_synchrony,no,-2.1723699,-1.01386835
218,perc_won,dimorphic receptive_synchrony,no,-0.770046935,-0.589557535
219,perc_won,no dimorphic receptive_synchrony,yes,-3.73453965,-0.9530918
220,perc_won,dimorphic receptive_synchrony,yes,-1.0926866,0.37897695
221,strict,no dimorphic receptive_synchrony,no,-2.2035929,0.46091434
222,strict,dimorphic receptive_synchrony,no,-0.037499983,0.58470292
223,strict,no dimorphic receptive_synchrony,yes,-2.08973055,0.48157884
224,strict,dimorphic receptive_synchrony,yes,0.20191281,1.008553
225,relaxed,no dimorphic receptive_synchrony,no,-1.14394825,0.389672865
226,relaxed,dimorphic receptive_synchrony,no,-0.151733645,0.600904205
227,relaxed,no dimorphic receptive_synchrony,yes,-3.7444095,-1.9979972
228,relaxed,dimorphic receptive_synchrony,yes,-0.34730911,0.63136732
229,perc_won,no dimorphic body_mass,no,-9.2386659,-7.3405045
230,perc_won,dimorphic body_mass,no,-0.16921186,-0.04127355
231,perc_won,no dimorphic body_mass,yes,-1.6732826,1.33622495
232,perc_won,dimorphic body_mass,yes,-1.7796217,0.291472495
233,strict,no dimorphic body_mass,no,-2.02110215,0.904119655
234,strict,dimorphic body_mass,no,-0.63145993,0.028304565
235,strict,no dimorphic body_mass,yes,-2.20143415,0.9231821
236,strict,dimorphic body_mass,yes,-0.618444725,0.093070129
237,relaxed,no dimorphic body_mass,no,-0.918264835,0.606951085
238,relaxed,dimorphic body_mass,no,-0.987892935,-0.009387236
239,relaxed,no dimorphic body_mass,yes,-4.08614,-1.54710815
240,relaxed,dimorphic body_mass,yes,-1.50017345,-0.038762835
241,perc_won,no dimorphic relative_testes_mass,no,-0.41726063,-0.25945934
242,perc_won,dimorphic relative_testes_mass,no,-0.235935125,-0.1126726
243,perc_won,no dimorphic relative_testes_mass,yes,-0.919655165,0.112790415
244,perc_won,dimorphic relative_testes_mass,yes,-0.404333705,1.10259155
245,strict,no dimorphic relative_testes_mass,no,-0.631752555,0.42916733
246,strict,dimorphic relative_testes_mass,no,-0.40031994,0.21846243
247,strict,no dimorphic relative_testes_mass,yes,-0.69861151,0.44761669
248,strict,dimorphic relative_testes_mass,yes,-0.570077425,0.16067342
249,relaxed,no dimorphic relative_testes_mass,no,-0.88982991,0.244542175
250,relaxed,dimorphic relative_testes_mass,no,-0.33020443,0.440865275
251,relaxed,no dimorphic relative_testes_mass,yes,-1.47481345,-0.038752002
252,relaxed,dimorphic relative_testes_mass,yes,-0.467352275,0.363408765
253,perc_won,no dimorphic relative_femalecaninesize,no,0.52262248,0.66624787
254,perc_won,dimorphic relative_femalecaninesize,no,-0.30044506,-0.1730165
255,perc_won,no dimorphic relative_femalecaninesize,yes,-0.868236385,0.311139755
256,perc_won,dimorphic relative_femalecaninesize,yes,-1.6308254,-0.74116625
257,strict,no dimorphic relative_femalecaninesize,no,-0.22950111,0.90636896
258,strict,dimorphic relative_femalecaninesize,no,-0.088833382,0.55591751
259,strict,no dimorphic relative_femalecaninesize,yes,-0.043510291,1.1686721
260,strict,dimorphic relative_femalecaninesize,yes,-0.058492599,0.613336265
261,relaxed,no dimorphic relative_femalecaninesize,no,-0.355801285,0.72482101
262,relaxed,dimorphic relative_femalecaninesize,no,-0.996964505,-0.24752433
263,relaxed,no dimorphic relative_femalecaninesize,yes,-0.602969935,0.839894315
264,relaxed,dimorphic relative_femalecaninesize,yes,-1.19060475,-0.10319542
265,perc_won,no dimorphic SocOrgPMK,no,0.53609745,0.65934382
266,perc_won,dimorphic SocOrgPMK,no,2.21826195,2.9266161
267,perc_won,no dimorphic SocOrgPMK,yes,1.45880505,2.59195655
268,perc_won,dimorphic SocOrgPMK,yes,-1.2333897,0.93192194
269,strict,no dimorphic SocOrgPMK,no,0.11158254,0.75844582
270,strict,dimorphic SocOrgPMK,no,-0.84517863,0.391977465
271,strict,no dimorphic SocOrgPMK,yes,0.108671205,0.839682355
272,strict,dimorphic SocOrgPMK,yes,-0.787384975,0.441073475
273,relaxed,no dimorphic SocOrgPMK,no,0.51898864,1.43221995
274,relaxed,dimorphic SocOrgPMK,no,-0.867297445,0.48946662
275,relaxed,no dimorphic SocOrgPMK,yes,0.44387472,1.5000442
276,relaxed,dimorphic SocOrgPMK,yes,-0.895623085,0.51383784
277,perc_won,no dimorphic MatSysPMK,no,-0.171557055,-0.097009724
278,perc_won,dimorphic MatSysPMK,no,-0.431168445,-0.273587385
279,perc_won,no dimorphic MatSysPMK,yes,-0.59361999,0.047941918
280,perc_won,dimorphic MatSysPMK,yes,-0.89438282,-0.028614556
281,strict,no dimorphic MatSysPMK,no,-0.098999291,0.398353725
282,strict,dimorphic MatSysPMK,no,-0.47750907,0.009416624
283,strict,no dimorphic MatSysPMK,yes,-0.102181805,0.38516845
284,strict,dimorphic MatSysPMK,yes,-0.4445596,0.032795725
285,relaxed,no dimorphic MatSysPMK,no,-0.3425983,0.22982916
286,relaxed,dimorphic MatSysPMK,no,-0.72906864,-0.097633794
287,relaxed,no dimorphic MatSysPMK,yes,-0.411563245,0.21418652
288,relaxed,dimorphic MatSysPMK,yes,-0.980690275,-0.27293863
289,perc_won,no dimorphic female_dispersal,no,-2.37316255,-2.11560445
290,perc_won,dimorphic female_dispersal,no,0.140415765,0.39268275
291,perc_won,no dimorphic female_dispersal,yes,-2.15276165,-0.52598611
292,perc_won,dimorphic female_dispersal,yes,-2.9053452,-1.464028
293,strict,no dimorphic female_dispersal,no,-0.93814325,0.025759543
294,strict,dimorphic female_dispersal,no,-1.15072685,-0.13909327
295,strict,no dimorphic female_dispersal,yes,-1.02373985,0.030543021
296,strict,dimorphic female_dispersal,yes,-1.3379204,-0.255082175
297,relaxed,no dimorphic female_dispersal,no,-0.725154855,0.301755185
298,relaxed,dimorphic female_dispersal,no,-0.876744585,0.289837245
299,relaxed,no dimorphic female_dispersal,yes,-0.722025675,0.341418265
300,relaxed,dimorphic female_dispersal,yes,-0.88568585,0.31389569
301,perc_won,no dimorphic male_dispersal,no,2.9313283,3.3356855
302,perc_won,dimorphic male_dispersal,no,-0.36542851,-0.11946489
303,perc_won,no dimorphic male_dispersal,yes,0.994550025,2.71887175
304,perc_won,dimorphic male_dispersal,yes,-0.679640055,0.69450592
305,strict,no dimorphic male_dispersal,no,0.31749513,1.3592516
306,strict,dimorphic male_dispersal,no,-0.45584316,0.50303598
307,strict,no dimorphic male_dispersal,yes,0.3364964,1.4085065
308,strict,dimorphic male_dispersal,yes,-0.427448195,0.61430027
309,relaxed,no dimorphic male_dispersal,no,0.074512349,1.1601022
310,relaxed,dimorphic male_dispersal,no,-1.01131685,0.103380235
311,relaxed,no dimorphic male_dispersal,yes,0.1096901,1.1838442
312,relaxed,dimorphic male_dispersal,yes,-0.96049392,0.15884099
313,perc_won,no dimorphic sexbias_dispersal,no,0.83000197,0.953079585
314,perc_won,dimorphic sexbias_dispersal,no,-0.33102925,-0.131872245
