"","outcome","continuouspredictor","phylogeny","estimate lower","estimate upper","association_present"
"216","strict female dominance","MatSysPMK POL minus MON","Yes",-0.278958748089979,0.215740599205586,"not"
"217","strict female dominance","MatSysPMK PRO minus MON","Yes",-0.228684122715171,0.267801585468904,"not"
"218","strict female dominance","MatSysPMK POL minus PAN","Yes",-0.274810175354528,0.232226776352007,"not"
"219","strict female dominance","MatSysPMK PRO minus PAN","Yes",-0.205555944300042,0.265219839791178,"not"
"220","strict female dominance","MatSysPMK PRO minus POL","Yes",-0.185813943052489,0.282139128014885,"not"
"221","strict male dominance","MatSysPMK PAN minus MON","No",-0.120215718956771,0.285076787103525,"not"
"222","strict male dominance","MatSysPMK POL minus MON","No",0.0916730025983121,0.454250607953143,"confident"
"223","strict male dominance","MatSysPMK PRO minus MON","No",-0.0210178503549786,0.290174785361671,"not"
"224","strict male dominance","MatSysPMK POL minus PAN","No",0.0125330678026398,0.375546381687513,"confident"
"225","strict male dominance","MatSysPMK PRO minus PAN","No",-0.10417042946752,0.214987962098687,"not"
"226","strict male dominance","MatSysPMK PRO minus POL","No",-0.272190775773294,-0.00346074902395426,"confident"
"227","strict male dominance","MatSysPMK PAN minus MON","Yes",-0.130958166630372,0.299272927828194,"not"
"228","strict male dominance","MatSysPMK POL minus MON","Yes",0.0988422059032309,0.479117824690022,"confident"
"229","strict male dominance","MatSysPMK PRO minus MON","Yes",-0.0266282344017604,0.336481643682204,"not"
"230","strict male dominance","MatSysPMK POL minus PAN","Yes",0.0200264826439086,0.410884004361444,"confident"
"231","strict male dominance","MatSysPMK PRO minus PAN","Yes",-0.107938029041661,0.258835449648868,"not"
"232","strict male dominance","MatSysPMK PRO minus POL","Yes",-0.284460664105369,0.00509335438246365,"not"
"233","perc_won","female_dispersal Yes minus No","No",0.0508495979528853,0.114883146799975,"confident"
"234","perc_won","female_dispersal Yes minus No","Yes",-0.443085768052816,-0.147464445442267,"confident"
"235","strict three way","female_dispersal Yes minus No","No",-0.131857023284177,0.124417475992326,"not"
"236","strict three way","female_dispersal Yes minus No","Yes",-0.175736758824176,0.12882346233067,"not"
"237","strict female dominance","female_dispersal Yes minus No","No",-0.0643639889758819,0.10003695001969,"not"
"238","strict female dominance","female_dispersal Yes minus No","Yes",-0.284995433144934,0.160910109648238,"not"
"239","strict male dominance","female_dispersal Yes minus No","No",-0.140028895321005,0.120515935387625,"not"
"240","strict male dominance","female_dispersal Yes minus No","Yes",-0.139985024601293,0.156137183123822,"not"
"241","perc_won","male_dispersal Yes minus No","No",0.0767050064171207,0.175476014076582,"confident"
"242","perc_won","male_dispersal Yes minus No","Yes",0.162886245998098,0.538264301935136,"confident"
"243","strict three way","male_dispersal Yes minus No","No",0.0234349130135817,0.313575817054859,"confident"
"244","strict three way","male_dispersal Yes minus No","Yes",0.039618176383792,0.362920452022991,"confident"
"245","strict female dominance","male_dispersal Yes minus No","No",-0.212151534242618,-0.0151023712878345,"confident"
"246","strict female dominance","male_dispersal Yes minus No","Yes",-0.246411522096343,0.24157214812794,"not"
"247","strict male dominance","male_dispersal Yes minus No","No",-0.285116852513636,-0.00475782467106113,"confident"
"248","strict male dominance","male_dispersal Yes minus No","Yes",-0.375270735612372,-0.0547509978836109,"confident"
"249","perc_won","sexbias_dispersal Female minus Both","No",-0.300258332466868,-0.203867718691414,"confident"
"250","perc_won","sexbias_dispersal Male minus Both","No",-0.259189013217213,-0.177443791872028,"confident"
"251","perc_won","sexbias_dispersal Male minus Female","No",0.00689089006672977,0.0674339403868893,"confident"
"252","perc_won","sexbias_dispersal Female minus Both","Yes",-0.416296330040362,-0.0195553869009719,"confident"
"253","perc_won","sexbias_dispersal Male minus Both","Yes",0.0952119590245189,0.402940490529213,"confident"
"254","perc_won","sexbias_dispersal Male minus Female","Yes",0.256263140152896,0.646771046107427,"confident"
"255","strict three way","sexbias_dispersal Female minus Both","No",-0.386331128934023,-0.0376056296420959,"confident"
"256","strict three way","sexbias_dispersal Male minus Both","No",-0.263478718012248,0.0463409578777003,"not"
"257","strict three way","sexbias_dispersal Male minus Female","No",-0.0517382652541063,0.253825755829272,"not"
"258","strict three way","sexbias_dispersal Female minus Both","Yes",-0.413459545859229,-0.0492568222911621,"confident"
"259","strict three way","sexbias_dispersal Male minus Both","Yes",-0.268071002247581,0.051342894414406,"not"
"260","strict three way","sexbias_dispersal Male minus Female","Yes",-0.0441864823968411,0.285552523160127,"not"
"261","strict female dominance","sexbias_dispersal Female minus Both","No",-0.126447812495386,0.148724623298921,"not"
"262","strict female dominance","sexbias_dispersal Male minus Both","No",-0.192407175511457,0.0211236551777209,"not"
"263","strict female dominance","sexbias_dispersal Male minus Female","No",-0.206612458584072,0.011073268258973,"not"
"264","strict female dominance","sexbias_dispersal Female minus Both","Yes",-0.243976989580837,0.258133875365383,"not"
"265","strict female dominance","sexbias_dispersal Male minus Both","Yes",-0.199445660001753,0.275425271752427,"not"
"266","strict female dominance","sexbias_dispersal Male minus Female","Yes",-0.216058729354005,0.272012161575735,"not"
