,outcome,continuouspredictor,phylogeny,estimate lower,estimate upper,association_present
254,strict female dominance,female_dispersal Yes minus No,Yes,-0.480403252,-0.128274824,confident
255,strict male dominance,female_dispersal Yes minus No,No,0.025024258,0.347603976,confident
256,strict male dominance,female_dispersal Yes minus No,Yes,0.0519787,0.43314881,confident
257,perc_won,male_dispersal Yes minus No,No,0.557365721,0.705458243,confident
258,perc_won,male_dispersal Yes minus No,Yes,-0.085309539,0.63768809,not
259,strict three way,male_dispersal Yes minus No,No,0.102330384,0.482906415,confident
260,strict three way,male_dispersal Yes minus No,Yes,0.03419125,0.465217881,confident
261,strict female dominance,male_dispersal Yes minus No,No,-0.1486989,0.200495717,not
262,strict female dominance,male_dispersal Yes minus No,Yes,-0.108997666,0.316104847,not
263,strict male dominance,male_dispersal Yes minus No,No,-0.527085787,-0.167391745,confident
264,strict male dominance,male_dispersal Yes minus No,Yes,-0.49742207,-0.108286526,confident
265,perc_won,sexbias_dispersal Female minus Both,No,-0.500022015,-0.249381527,confident
266,perc_won,sexbias_dispersal Male minus Both,No,0.216861024,0.435111364,confident
267,perc_won,sexbias_dispersal Male minus Female,No,0.664068033,0.779707836,confident
268,perc_won,sexbias_dispersal Female minus Both,Yes,-0.456946808,0.198309193,not
269,perc_won,sexbias_dispersal Male minus Both,Yes,0.046271982,0.417400963,confident
270,perc_won,sexbias_dispersal Male minus Female,Yes,0.042442251,0.652445963,confident
271,strict three way,sexbias_dispersal Female minus Both,No,-0.264196209,0.171555453,not
272,strict three way,sexbias_dispersal Male minus Both,No,0.131734703,0.455991182,confident
273,strict three way,sexbias_dispersal Male minus Female,No,0.142897232,0.541720453,confident
274,strict three way,sexbias_dispersal Female minus Both,Yes,-0.258519235,0.154291286,not
275,strict three way,sexbias_dispersal Male minus Both,Yes,0.119986042,0.464835213,confident
276,strict three way,sexbias_dispersal Male minus Female,Yes,0.141542702,0.533205222,confident
277,strict female dominance,sexbias_dispersal Female minus Both,No,-0.08944199,0.307322869,not
278,strict female dominance,sexbias_dispersal Male minus Both,No,0.100699014,0.441630081,confident
279,strict female dominance,sexbias_dispersal Male minus Female,No,-0.038067732,0.366618663,not
280,strict female dominance,sexbias_dispersal Female minus Both,Yes,-0.146545841,0.295444912,not
281,strict female dominance,sexbias_dispersal Male minus Both,Yes,0.099182572,0.455114247,confident
282,strict female dominance,sexbias_dispersal Male minus Female,Yes,-0.013799647,0.416284484,not
283,strict male dominance,sexbias_dispersal Female minus Both,No,-0.0179039,0.38224373,not
284,strict male dominance,sexbias_dispersal Male minus Both,No,-0.300124977,0.023217172,not
285,strict male dominance,sexbias_dispersal Male minus Female,No,-0.517764694,-0.117328339,confident
286,strict male dominance,sexbias_dispersal Female minus Both,Yes,-0.104945154,0.341678753,not
287,strict male dominance,sexbias_dispersal Male minus Both,Yes,-0.368638622,0.014859934,not
288,strict male dominance,sexbias_dispersal Male minus Female,Yes,-0.505789089,-0.08534311,confident
289,perc_won,jointaggression_females Yes minus No,No,0.11205075,0.178279559,confident
290,perc_won,jointaggression_females Yes minus No,Yes,-0.82512817,-0.56655515,confident
291,strict three way,jointaggression_females Yes minus No,No,-0.091250557,0.216296132,not
292,strict three way,jointaggression_females Yes minus No,Yes,-0.140397447,0.205351309,not
293,strict female dominance,jointaggression_females Yes minus No,No,-0.106667085,0.202851156,not
294,strict female dominance,jointaggression_females Yes minus No,Yes,-0.148944021,0.200277329,not
295,strict male dominance,jointaggression_females Yes minus No,No,-0.208993448,0.07421495,not
