"","outcome","continuouspredictor","phylogeny","estimate lower","estimate upper","association_present"
"103","strict male dominance","male_canine_height","No",-0.640835385,0.647698325,"not"
"104","strict male dominance","male_canine_height","Yes",-1.09822375,1.1180202,"not"
"105","perc_won","females","No",-0.0827103635,0.047948248,"not"
"106","perc_won","females","Yes",-0.677928295,-0.285459085,"confident"
"107","strict three way","females","No",-0.331982315,0.555558025,"not"
"108","strict three way","females","Yes",-0.59000001,0.471718165,"not"
"109","strict female dominance","females","No",-0.33350536,0.47318654,"not"
"110","strict female dominance","females","Yes",-0.57197593,0.499833965,"not"
"111","strict male dominance","females","No",-0.63515393,0.54596222,"not"
"112","strict male dominance","females","Yes",-1.2592341,0.877264715,"not"
"113","perc_won","males","No",-0.103930725,0.0261076985,"not"
"114","perc_won","males","Yes",-0.0910401375,0.21514328,"not"
"115","strict three way","males","No",-0.492089425,0.45183137,"not"
"116","strict three way","males","Yes",-0.68744004,0.396056995,"not"
"117","strict female dominance","males","No",-0.381347195,0.4031005,"not"
"118","strict female dominance","males","Yes",-0.60848355,0.401286545,"not"
"119","strict male dominance","males","No",-0.641301325,0.58310147,"not"
"120","strict male dominance","males","Yes",-1.10766665,0.895233215,"not"
"121","perc_won","homerange_overlap","No",-0.450940135,-0.274315305,"confident"
"122","perc_won","homerange_overlap","Yes",0.424776955,0.976620335,"confident"
"123","strict three way","homerange_overlap","No",-0.86427109,0.42363282,"not"
"124","strict three way","homerange_overlap","Yes",-0.83413502,0.489900265,"not"
"125","strict female dominance","homerange_overlap","No",-0.653383655,0.340099135,"not"
"126","strict female dominance","homerange_overlap","Yes",-0.850065255,0.489070215,"not"
"127","strict male dominance","homerange_overlap","No",-0.691015425,0.65517885,"not"
"128","strict male dominance","homerange_overlap","Yes",-1.1777541,0.992044305000001,"not"
"129","perc_won","perc_aggression_mm","No",0.70824771,1.2089687,"confident"
"130","perc_won","perc_aggression_mm","Yes",0.581506305,1.63972015,"confident"
"131","strict three way","perc_aggression_mm","No",-0.0454078535,2.20079145,"not"
"132","strict three way","perc_aggression_mm","Yes",-0.045072372,2.2796865,"not"
"133","strict female dominance","perc_aggression_mm","No",-0.2665173,1.0929504,"not"
"134","strict female dominance","perc_aggression_mm","Yes",-0.0607837585000001,2.26212305,"not"
"135","strict male dominance","perc_aggression_mm","No",-0.718720835,0.725134185,"not"
"136","strict male dominance","perc_aggression_mm","Yes",-1.3183411,1.1299327,"not"
"137","perc_won","sexualreceptivity_hours","No",-0.82830287,-0.514858605,"confident"
"138","perc_won","sexualreceptivity_hours","Yes",-1.2498342,-0.39672269,"confident"
"139","strict three way","sexualreceptivity_hours","No",-1.78733185,0.0684686425,"not"
"140","strict three way","sexualreceptivity_hours","Yes",-1.80828635,0.0816689220000007,"not"
"141","strict female dominance","sexualreceptivity_hours","No",-1.07985635,0.2392235,"not"
"142","strict female dominance","sexualreceptivity_hours","Yes",-1.6995616,0.122603605,"not"
"143","strict male dominance","sexualreceptivity_hours","No",-0.69968813,0.69220407,"not"
"144","strict male dominance","sexualreceptivity_hours","Yes",-1.21551865,1.1858751,"not"
"145","perc_won","receptive_synchrony","No",-0.28886964,-0.0656283675,"confident"
"146","perc_won","receptive_synchrony","Yes",-1.1333188,0.0563669530000002,"not"
"147","strict three way","receptive_synchrony","No",-0.517329385,0.964797605,"not"
"148","strict three way","receptive_synchrony","Yes",-0.56942364,0.962470585,"not"
"149","strict female dominance","receptive_synchrony","No",-0.44432812,0.652467265,"not"
"150","strict female dominance","receptive_synchrony","Yes",-0.55461894,0.85980383,"not"
"151","strict male dominance","receptive_synchrony","No",-0.73017633,0.676595005,"not"
"152","strict male dominance","receptive_synchrony","Yes",-1.2871719,1.0452452,"not"
"153","perc_won","body_mass","No",0.289000505,0.4995926,"confident"
"154","perc_won","body_mass","Yes",0.149891495,1.8086474,"confident"
"155","strict three way","body_mass","No",0.150940775,1.7427779,"confident"
"156","strict three way","body_mass","Yes",-0.00284743205000003,1.71504885,"not"
"157","strict female dominance","body_mass","No",-0.0720119425,1.10951035,"not"
"158","strict female dominance","body_mass","Yes",-0.0527444815,1.68274905,"not"
"159","strict male dominance","body_mass","No",-0.599762215,0.626671695,"not"
"160","strict male dominance","body_mass","Yes",-1.20720135,1.0593325,"not"
"161","perc_won","relative_testes_mass","No",-0.37007965,-0.148520265,"confident"
"162","perc_won","relative_testes_mass","Yes",-0.912193995,0.13239674,"not"
"163","strict three way","relative_testes_mass","No",-0.81925953,0.60311113,"not"
"164","strict three way","relative_testes_mass","Yes",-0.68969307,1.02757555,"not"
"165","strict female dominance","relative_testes_mass","No",-0.634835925,0.49306824,"not"
"166","strict female dominance","relative_testes_mass","Yes",-0.6413947,1.02902055,"not"
"167","strict male dominance","relative_testes_mass","No",-0.638256345,0.68202407,"not"
"168","strict male dominance","relative_testes_mass","Yes",-1.1493217,1.19575725,"not"
"169","perc_won","relative_femalecaninesize","No",-0.468796625,-0.276084525,"confident"
"170","perc_won","relative_femalecaninesize","Yes",-2.12976905,-0.34975345,"confident"
"171","strict three way","relative_femalecaninesize","No",-1.2834976,0.11975828,"not"
"172","strict three way","relative_femalecaninesize","Yes",-1.37814675,0.13521373,"not"
"173","strict female dominance","relative_femalecaninesize","No",-0.898385805,0.203346975,"not"
"174","strict female dominance","relative_femalecaninesize","Yes",-1.32563485,0.13094939,"not"
"175","strict male dominance","relative_femalecaninesize","No",-0.65631104,0.673704485,"not"
"176","strict male dominance","relative_femalecaninesize","Yes",-1.08919285,1.09887025,"not"
"177","perc_won","SocOrgPMK P minus G","No",0.00840957939230694,0.0916477181795175,"confident"
"178","perc_won","SocOrgPMK S minus G","No",-0.141990249029036,-0.0663663194833591,"confident"
"179","perc_won","SocOrgPMK S minus P","No",-0.204372279673985,-0.0987415565561067,"confident"
"180","perc_won","SocOrgPMK P minus G","Yes",0.187307351217838,0.42291046845674,"confident"
"181","perc_won","SocOrgPMK S minus G","Yes",0.152732296808765,0.663390566663034,"confident"
"182","perc_won","SocOrgPMK S minus P","Yes",-0.141327863694786,0.371499133755476,"not"
"183","strict three way","SocOrgPMK P minus G","No",-0.231122207672114,0.155514945571571,"not"
"184","strict three way","SocOrgPMK S minus G","No",-0.321964351319022,0.0392022014879708,"not"
"185","strict three way","SocOrgPMK S minus P","No",-0.309947389043529,0.104734191121538,"not"
"186","strict three way","SocOrgPMK P minus G","Yes",-0.234864395296964,0.17494976256692,"not"
"187","strict three way","SocOrgPMK S minus G","Yes",-0.293233656905893,0.125760625366707,"not"
"188","strict three way","SocOrgPMK S minus P","Yes",-0.275208172047476,0.172126136082719,"not"
"189","strict female dominance","SocOrgPMK P minus G","No",-0.246552405547557,0.144552564764226,"not"
"190","strict female dominance","SocOrgPMK S minus G","No",-0.339520565812295,0.0449453018312947,"not"
"191","strict female dominance","SocOrgPMK S minus P","No",-0.304047694251248,0.0982707469886659,"not"
"192","strict female dominance","SocOrgPMK P minus G","Yes",-0.243429287139205,0.16191279007738,"not"
"193","strict female dominance","SocOrgPMK S minus G","Yes",-0.304017112433566,0.114005843255467,"not"
"194","strict female dominance","SocOrgPMK S minus P","Yes",-0.288135428663755,0.161258228857987,"not"
