"","outcome","nestingvariable","phylogeny","contrast lower","contrast upper"
"382","perc_won","lemur SocOrgPMK","No",0.283559685,1.42144925
"383","perc_won","no lemur SocOrgPMK","Yes",-1.53537805,-0.185571145
"384","perc_won","lemur SocOrgPMK","Yes",0.274356885,1.39297
"385","strict","no lemur SocOrgPMK",NA,NA,NA
"386","strict","lemur SocOrgPMK",NA,NA,NA
"387","strict","no lemur SocOrgPMK",NA,NA,NA
"388","strict","lemur SocOrgPMK",NA,NA,NA
"389","strict","no lemur SocOrgPMK",NA,NA,NA
"390","strict","lemur SocOrgPMK",NA,NA,NA
"391","strict","no lemur SocOrgPMK",NA,NA,NA
"392","strict","lemur SocOrgPMK",NA,NA,NA
"393","strict","no lemur SocOrgPMK",NA,NA,NA
"394","strict","lemur SocOrgPMK",NA,NA,NA
"395","strict","no lemur SocOrgPMK",NA,NA,NA
"396","strict","lemur SocOrgPMK",NA,NA,NA
"397","relaxed","no lemur SocOrgPMK",NA,NA,NA
"398","relaxed","lemur SocOrgPMK",NA,NA,NA
"399","relaxed","no lemur SocOrgPMK",NA,NA,NA
"400","relaxed","lemur SocOrgPMK",NA,NA,NA
"401","relaxed","no lemur SocOrgPMK",NA,NA,NA
"402","relaxed","lemur SocOrgPMK",NA,NA,NA
"403","relaxed","no lemur SocOrgPMK",NA,NA,NA
"404","relaxed","lemur SocOrgPMK",NA,NA,NA
"405","relaxed","no lemur SocOrgPMK",NA,NA,NA
"406","relaxed","lemur SocOrgPMK",NA,NA,NA
"407","relaxed","no lemur SocOrgPMK",NA,NA,NA
"408","relaxed","lemur SocOrgPMK",NA,NA,NA
